,_Index,relation_num,active_level
1056,1056,1258,2
1057,1057,1254,2
1058,1058,1270,2
1059,1059,1228,1
1060,1060,1218,1
1061,1061,1238,2
1062,1062,1228,1
1063,1063,1188,1
1064,1064,1200,1
1065,1065,1198,1
1066,1066,1188,1
1067,1067,1152,1
1068,1068,1168,1
1069,1069,1158,1
1070,1070,1154,1
1071,1071,1146,1
1072,1072,1132,1
1073,1073,1142,1
1074,1074,1112,1
1075,1075,1132,1
1076,1076,1084,1
1077,1077,1126,1
1078,1078,1126,1
1079,1079,1112,1
1080,1080,1122,1
1081,1081,1108,1
1082,1082,1114,1
1083,1083,1112,1
1084,1084,1128,1
1085,1085,1124,1
1086,1086,1112,1
1087,1087,1136,1
1088,1088,1120,1
1089,1089,1114,1
1090,1090,1100,1
1091,1091,1106,1
1092,1092,1156,1
1093,1093,1144,1
1094,1094,1116,1
1095,1095,1124,1
1096,1096,1124,1
1097,1097,1120,1
1098,1098,1148,1
1099,1099,1116,1
1100,1100,1116,1
1101,1101,1106,1
1102,1102,1110,1
1103,1103,1124,1
1104,1104,1110,1
1105,1105,1110,1
1106,1106,1120,1
1107,1107,1146,1
1108,1108,1114,1
1109,1109,1126,1
1110,1110,1126,1
1111,1111,1124,1
1112,1112,1110,1
1113,1113,1138,1
1114,1114,1112,1
1115,1115,1138,1
1116,1116,1122,1
1117,1117,1080,1
1118,1118,1124,1
1119,1119,1132,1
1120,1120,1102,1
1121,1121,1124,1
1122,1122,1142,1
1123,1123,1130,1
1124,1124,1112,1
1125,1125,1102,1
1126,1126,1126,1
1127,1127,1114,1
1128,1128,1122,1
1129,1129,1104,1
1130,1130,1114,1
1131,1131,1142,1
1132,1132,1120,1
1133,1133,1110,1
1134,1134,1122,1
1135,1135,1114,1
1136,1136,1116,1
1137,1137,1116,1
1138,1138,1112,1
1139,1139,1114,1
1140,1140,1122,1
1141,1141,1106,1
1142,1142,1110,1
1143,1143,1132,1
1144,1144,1134,1
1145,1145,1104,1
1146,1146,1126,1
1147,1147,1116,1
1148,1148,1148,1
1149,1149,1112,1
1150,1150,1106,1
1151,1151,1108,1
1152,1152,1112,1
1153,1153,1114,1
1154,1154,1130,1
1155,1155,1126,1
1156,1156,1126,1
1157,1157,1126,1
1158,1158,1138,1
1159,1159,1120,1
1160,1160,1114,1
1161,1161,1124,1
1162,1162,1146,1
1163,1163,1124,1
1164,1164,1118,1
1165,1165,1122,1
